epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
2,2199,,1.4184339046478271,,,,,
2,2249,,1.4250003099441528,,,,,
2,2299,,1.4190912246704102,,,,,
2,2349,,1.4576408863067627,,,,,
2,2399,,1.4327123165130615,,,,,
2,2449,,1.4507911205291748,,,,,
2,2499,,1.4418268203735352,,,,,
2,2549,,1.4070305824279785,,,,,
2,2558,,,0.6552407741546631,21.26648712158203,0.8696713447570801,1.4242422580718994,1.4242422580718994
2,2558,1.4277957677841187,,,,,,
3,2599,,1.3914952278137207,,,,,
3,2649,,1.418959140777588,,,,,
3,2699,,1.4115678071975708,,,,,
3,2749,,1.4224739074707031,,,,,
3,2799,,1.4328665733337402,,,,,
3,2849,,1.4365689754486084,,,,,
3,2899,,1.4134430885314941,,,,,
3,2949,,1.4496159553527832,,,,,
3,2999,,1.4373681545257568,,,,,
3,3049,,1.4923219680786133,,,,,
3,3099,,1.482780933380127,,,,,
3,3149,,1.449169635772705,,,,,
3,3199,,1.4236078262329102,,,,,
3,3249,,1.479642391204834,,,,,
3,3299,,1.4044934511184692,,,,,
3,3349,,1.4581726789474487,,,,,
3,3399,,1.4352058172225952,,,,,
3,3411,,,0.639178991317749,25.402334213256836,0.8568969964981079,1.428668737411499,1.428668737411499
3,3411,1.426814079284668,,,,,,
4,3449,,1.4039392471313477,,,,,
4,3499,,1.4399536848068237,,,,,
4,3549,,1.4414944648742676,,,,,
4,3599,,1.4369299411773682,,,,,
4,3649,,1.4411909580230713,,,,,
4,3699,,1.4147822856903076,,,,,
4,3749,,1.453656792640686,,,,,
4,3799,,1.4417190551757812,,,,,
4,3849,,1.4421484470367432,,,,,
4,3899,,1.4296332597732544,,,,,
4,3949,,1.4270991086959839,,,,,
4,3999,,1.4387025833129883,,,,,
4,4049,,1.4273929595947266,,,,,
4,4099,,1.4157443046569824,,,,,
4,4149,,1.4442390203475952,,,,,
4,4199,,1.431225299835205,,,,,
4,4249,,1.3821587562561035,,,,,
4,4264,,,0.6634734869003296,31.27882194519043,0.8783061504364014,1.422698974609375,1.422698974609375
4,4264,1.426138997077942,,,,,,
5,4299,,1.4361913204193115,,,,,
5,4349,,1.4279348850250244,,,,,
5,4399,,1.4217181205749512,,,,,
5,4449,,1.4281556606292725,,,,,
5,4499,,1.4331053495407104,,,,,
5,4549,,1.4058778285980225,,,,,
5,4599,,1.420480728149414,,,,,
5,4649,,1.403511643409729,,,,,
5,4699,,1.4342994689941406,,,,,
5,4749,,1.4606757164001465,,,,,
5,4799,,1.425569772720337,,,,,
5,4849,,1.4844119548797607,,,,,
5,4899,,1.4499012231826782,,,,,
5,4949,,1.426977276802063,,,,,
5,4999,,1.4326859712600708,,,,,
5,5049,,1.4303311109542847,,,,,
5,5099,,1.4530352354049683,,,,,
5,5117,,,0.666198194026947,34.32380676269531,0.8791919946670532,1.4219170808792114,1.4219170808792114
5,5117,1.4253478050231934,,,,,,
6,5149,,1.463581919670105,,,,,
6,5199,,1.4630610942840576,,,,,
6,5249,,1.4631186723709106,,,,,
6,5299,,1.455958604812622,,,,,
6,5349,,1.4367870092391968,,,,,
