epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.8413869142532349,,,,,
0,99,,0.7675567269325256,,,,,
0,149,,0.7295538187026978,,,,,
0,199,,0.871936559677124,,,,,
0,249,,0.7981936931610107,,,,,
0,299,,0.7209686040878296,,,,,
0,349,,0.7285962104797363,,,,,
0,399,,0.7093690633773804,,,,,
0,449,,0.7051491737365723,,,,,
0,499,,0.7057756781578064,,,,,
0,549,,0.7060694098472595,,,,,
0,599,,0.667586088180542,,,,,
0,649,,0.7548618316650391,,,,,
0,699,,0.6949284076690674,,,,,
0,749,,0.7128970623016357,,,,,
0,799,,0.6489092707633972,,,,,
0,849,,0.6722140908241272,,,,,
0,852,,,0.24965675175189972,13.390356063842773,0.3523308336734772,0.6922279000282288,0.6922279000282288
0,852,0.7485086917877197,,,,,,
1,899,,0.6896610260009766,,,,,
1,949,,0.6760755777359009,,,,,
1,999,,0.6735350489616394,,,,,
1,1049,,0.6443489789962769,,,,,
1,1099,,0.6889435052871704,,,,,
1,1149,,0.6765794157981873,,,,,
1,1199,,0.6693416833877563,,,,,
1,1249,,0.6823552846908569,,,,,
1,1299,,0.6531521677970886,,,,,
1,1349,,0.6986607313156128,,,,,
1,1399,,0.7142335176467896,,,,,
1,1449,,0.6737606525421143,,,,,
1,1499,,0.6988886594772339,,,,,
1,1549,,0.6988421678543091,,,,,
1,1599,,0.6312179565429688,,,,,
1,1649,,0.6793965101242065,,,,,
