feature,mean_gain
feature_06,0.02044846821023829
time_pos,0.013404440491270733
feature_36,0.011892431202578962
feature_59__cs_z,0.0098678966326213
feature_60__cs_z,0.008839388748619862
time_cos,0.007729935978864469
feature_04,0.0063223779347890445
feature_00__lag6776,0.005322390467355623
responder_1_prev_tail_lag967,0.004883887951305523
feature_61__lag1936,0.004710926301860234
feature_21__lag7744,0.004673814371092851
feature_04__ewm5,0.0044080638675965435
feature_59__ewm5,0.004393110545133331
feature_61__lag4840,0.004289269328951415
feature_60__ewm50,0.004228727743621329
feature_59__rstd30,0.0042071423105569765
feature_52__rstd30,0.003804949178498196
feature_37__rstd30,0.0037970895337408723
feature_58__ewm50,0.003672978125094227
feature_76__rstd7,0.0036586884266493983
feature_48,0.003649156376291132
feature_08__ewm50,0.0035879230457526124
feature_61__lag2904,0.003492884157790071
feature_04__ewm10,0.0034555092932638098
feature_51__rmean14,0.00339335900524073
feature_07,0.0032989470539805978
responder_5_prevday_mean,0.003270414849517159
feature_61__lag900,0.0032020450982154164
responder_4_prevday_std,0.0031460195919797845
feature_61__lag6776,0.0030692797443794724
feature_61__lag5808,0.0029614367936448994
feature_61__ret50,0.002956535427802465
feature_61__lag3872,0.0029396928399221907
feature_60__csrank,0.002932276570137042
feature_59__ewm50,0.002917566525826806
feature_48__rstd30,0.0029067801132758725
feature_04__ewm50,0.002867654454392676
responder_8_prevday_mean,0.002805241769700279
responder_8_prevday_std,0.0028009257913590357
responder_0_prev_tail_lag10,0.002774351188393029
responder_1_prev_tail_d30,0.002761067471191435
feature_05__rstd30,0.002738784734922484
feature_51__ewm10,0.0027078066046229625
feature_38__rstd30,0.0026986954439034328
feature_59__rstd7,0.002689078120273427
feature_36__ewm5,0.0025837700589701282
feature_60__rmean30,0.0025711772787816254
feature_05__ewm50,0.002570407982987458
feature_31__diff50,0.002557711776088896
feature_08__lag100,0.0025356915546355394
feature_33__rmean7,0.0025188232549501013
feature_58__rstd30,0.0024953903043972653
feature_43__ewm50,0.002464984494093052
feature_20__diff50,0.002460474794538054
feature_01__ewm50,0.0024468275457119296
feature_07__rmean30,0.0024410566807705966
feature_08__lag7744,0.002418875166915099
feature_59__rstd14,0.0024098010717289093
feature_30__lag7744,0.002392974205294536
feature_61__diff50,0.002365460163516407
feature_19__rstd30,0.0023552302890524524
feature_27__rz7,0.0023546782012933845
responder_6_prevday_mean,0.0023506864490419714
feature_61__ewm50,0.002342358464963005
feature_36__rmean3,0.002337043198271385
feature_06__rz30,0.0023332755565202887
feature_68,0.0023255345342641323
feature_58,0.002310502764290996
feature_25__diff50,0.0022968796996592567
responder_8_prev_tail_lag967,0.0022678442554843244
feature_05__rmean30,0.002266231994705961
responder_7_prev_tail_lag967,0.0022472159970297135
feature_61__lag968,0.0022466095701199874
feature_06__ewm50,0.0022406185960333414
feature_22__diff50,0.0022388932793599376
feature_54__ewm10,0.0022216607995304096
responder_8_prev_tail_lag10,0.0021953563540190045
feature_61__rz30,0.00219274266814488
feature_55__ewm10,0.0021853617718973453
feature_08__rstd30,0.0021747217646191147
feature_75__rstd14,0.0021507289008504686
responder_6_close_roll14_std,0.0021483473421982525
feature_21__lag4840,0.002147428322839524
feature_07__rmean3,0.0021363142687387546
feature_38__lag100,0.0021258398733249653
feature_08__rmean30,0.002106391507158964
feature_13__rmean7,0.0020845469293936133
responder_5_prev_tail_lag967,0.002077420575139437
feature_06__rstd30,0.0020755711249205336
feature_06__ewm10,0.0020739964381677844
responder_8_prevday_close_minus_mean,0.002064021927305031
feature_58__rmean3,0.0019867615499464778
responder_6_prevday_std,0.0019759632311202088
feature_54__rmean14,0.0019724231229040256
feature_59__rmean30,0.001956766440474552
feature_33__ewm50,0.0019422965211478012
feature_38__diff50,0.0019378328405741682
feature_47__rmean30,0.0019351753863628733
responder_1_prev_tail_lag950,0.001932905981689729
time_sin,0.0019310721083268011
feature_35__ewm50,0.0019264454899132388
feature_08__diff50,0.001912503602235461
feature_21__diff50,0.0019119031481756301
responder_6_prev_tail_lag967,0.001909978338027759
feature_51__ewm5,0.0019054304134594373
responder_8_close_roll30_std,0.0018949943746817974
feature_60,0.0018803647888437909
feature_68__rmean14,0.00187753270429273
responder_0_prev_tail_lag900,0.001876459589304227
responder_3_prev_tail_lag967,0.0018755869316962887
responder_4_prevday_mean,0.0018702320581225154
feature_53__ewm5,0.0018677437461900046
responder_0_close_roll30_std,0.001846681832862635
feature_37__diff50,0.001841948618262685
