epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.3482255935668945,,,,,
0,99,,0.7506524920463562,,,,,
0,149,,0.769255518913269,,,,,
0,199,,0.7632759809494019,,,,,
0,249,,0.7337016463279724,,,,,
0,299,,0.7314614653587341,,,,,
0,349,,0.7000240087509155,,,,,
0,399,,0.7069776654243469,,,,,
0,449,,0.6875929832458496,,,,,
0,499,,0.7090675830841064,,,,,
0,549,,0.6916730999946594,,,,,
0,599,,0.7021102905273438,,,,,
0,649,,0.697358250617981,,,,,
0,699,,0.7028336524963379,,,,,
0,749,,0.6466047167778015,,,,,
0,799,,0.6912999749183655,,,,,
0,849,,0.6548607349395752,,,,,
0,852,,,0.2574353516101837,16.740320205688477,0.3665763735771179,0.7156397104263306,0.7156397104263306
0,852,0.7680903673171997,,,,,,
1,899,,0.6824969053268433,,,,,
1,949,,0.6964362859725952,,,,,
1,999,,0.7191102504730225,,,,,
1,1049,,0.7081283330917358,,,,,
1,1099,,0.6837481260299683,,,,,
1,1149,,0.6958802938461304,,,,,
1,1199,,0.6538666486740112,,,,,
1,1249,,0.6824952363967896,,,,,
1,1299,,0.6679201126098633,,,,,
1,1349,,0.6607999801635742,,,,,
1,1399,,0.6517647504806519,,,,,
1,1449,,0.6270476579666138,,,,,
