feature,gain,split
responder_5_close_roll60_mean,56386.65434265137,99
feature_47__ewm256,56381.16192626953,146
feature_16__ewm64,56338.3180847168,113
feature_54__ewm64,56316.23986816406,147
feature_37__ewm64,56188.9481048584,151
feature_16__ewm968,56155.81898498535,121
responder_4_prevday_std,56137.534912109375,155
feature_61__lag100,56063.50281524658,159
feature_64__ewm968,56037.506019592285,141
responder_1_prevday_std,56033.5438079834,166
feature_61__ewm256,55905.03108215332,166
feature_03__ewm256,55773.02896118164,165
feature_47__ewm968,55386.084213256836,158
feature_34__rz968,55239.812896728516,115
feature_07__ewm256,54887.31889343262,171
feature_37__diff256,54845.03105163574,153
feature_40__ewm16,54687.26301574707,128
responder_8_prevday_mean,54619.9889831543,150
feature_29__diff64,54412.35906982422,172
feature_24__lag256,54390.84104156494,164
feature_22__lag256,54286.412033081055,153
responder_8_prev_tail_lag5,54249.27394104004,159
feature_23__diff64,54214.01410675049,165
feature_26__ret64,54170.36604309082,168
responder_2_prevday_close_minus_mean,54066.4344329834,93
feature_74__ewm968,53902.01207733154,160
feature_01__diff968,53679.30506896973,166
feature_59__ewm968,53585.110900878906,152
feature_32__ewm968,53529.883041381836,156
feature_56__ewm968,53513.32971191406,157
responder_1_close_roll20_mean,53492.45421600342,124
feature_66__ewm968,53409.920989990234,149
feature_17__ewm100,53355.3670501709,117
feature_25__diff100,53308.54591369629,146
feature_25__ret64,53215.71913909912,162
feature_38__lag968,53142.895935058594,164
feature_26__diff64,52933.32795715332,154
feature_64__ewm256,52879.72996520996,130
feature_20__diff16,52858.26396179199,151
responder_2_prevday_mean,52733.19233703613,136
feature_49__ewm64,52651.04016876221,146
feature_43__ewm256,52526.064056396484,161
feature_02__ewm968,52524.35313415527,156
feature_38__lag256,52452.42903137207,151
feature_28__ret64,52351.767890930176,161
feature_47__ewm16,52330.22929382324,145
feature_61__ewm100,52243.26605987549,150
feature_20__diff968,52209.051528930664,116
feature_22__ret64,52208.85079956055,158
feature_31__diff100,52167.15100097656,164
feature_50__ewm64,52164.49496459961,148
feature_22__lag968,52108.74722290039,148
feature_37__ewm100,52100.53193664551,144
feature_77__ewm968,51857.234046936035,163
feature_38__diff100,51786.75895690918,140
feature_29__ret64,51661.82991027832,157
feature_16__ewm16,51571.93617248535,100
feature_05__diff100,51344.893951416016,156
feature_20__ewm968,51335.42887878418,150
feature_45__ewm64,51312.85008239746,127
feature_05__diff16,51149.0330657959,126
feature_19__ewm968,51039.770111083984,147
feature_22__diff100,50947.41687011719,153
responder_0_prevday_std,50833.56002807617,142
feature_56__ewm256,50760.82317352295,146
responder_0_close_roll5_std,50712.578704833984,132
feature_19__ewm64,50649.8200378418,132
feature_24__diff100,50625.60595703125,146
responder_7_prevday_mean,50500.48191833496,150
responder_6_close_roll20_mean,50438.74856567383,117
feature_22__diff968,50434.705825805664,133
responder_7_same_t_prev2,50331.34999847412,156
feature_37__ewm256,49879.83000946045,149
feature_66__ewm100,49643.051040649414,130
responder_8_prev_tail_lag1,49584.27006530762,124
responder_2_prev_tail_d1,49427.58724975586,136
responder_2_close_roll60_std,49307.15295410156,147
feature_58__lag1,49298.36994934082,144
feature_17__ewm256,49296.970153808594,107
feature_66__ewm256,49045.71109008789,130
responder_2_close_roll5_mean,49033.844093322754,107
feature_15,48935.44554901123,71
feature_63__ewm968,48783.49588775635,121
feature_25__rz968,48570.66896057129,118
feature_16__ewm100,48471.68410491943,108
feature_59__ewm256,48464.63888549805,149
feature_43__ewm16,48359.10902404785,129
feature_21__lag968,48155.018005371094,142
feature_19__ewm100,48099.994079589844,122
feature_18__ewm968,47962.83206176758,145
feature_22__diff16,47915.8690032959,146
feature_16__ewm256,47543.50003051758,110
feature_28__lag100,47458.2600402832,130
feature_18__ewm256,47184.435958862305,155
feature_67__ewm968,47174.889961242676,132
feature_26__ret100,47151.834243774414,136
feature_52__lag1,47148.094161987305,72
feature_70__ewm968,47033.24076080322,151
responder_6_prev_tail_d1,46935.45706176758,149
feature_24__lag968,46931.19697570801,145
feature_31__ret64,46929.694259643555,148
feature_58__ewm64,46839.70414733887,146
feature_59__ewm64,46541.43405914307,142
feature_53__ewm64,46239.090103149414,117
feature_31__diff256,46218.74398803711,132
responder_4_prevday_close_minus_mean,46022.97370147705,130
feature_22,45989.55010986328,131
feature_57__ewm256,45984.17111206055,130
responder_6_prev_tail_lag5,45931.54769897461,123
feature_49__ewm16,45861.38491821289,135
feature_25__lag968,45804.51893615723,119
feature_45__ewm256,45761.64701843262,128
feature_01__diff256,45499.04694366455,145
feature_49__ewm256,45444.460189819336,130
feature_26__diff16,45252.70999145508,126
feature_25__ret100,45193.883949279785,147
responder_2_close_roll20_mean,45191.95176696777,103
feature_43__ewm968,45175.7919921875,140
responder_3_close_roll20_mean,45157.89472198486,128
responder_1_prevday_mean,45110.657653808594,125
responder_3_prev_tail_lag3,45105.21905517578,133
responder_4_prev_tail_lag5,45101.64099884033,139
responder_4_prevday_mean,44926.7901763916,130
feature_57__ewm968,44792.705001831055,124
feature_23__ret16,44776.867263793945,125
feature_30__diff100,44628.52200317383,143
responder_3_close_roll5_mean,44622.71508026123,126
responder_6_prev_tail_d2,44432.82698059082,131
feature_30__diff16,44417.493995666504,124
feature_44__ewm64,44409.91906738281,125
responder_6_prevday_close_minus_mean,44243.7061920166,130
responder_7_prevday_std,44240.918212890625,117
responder_2_close_roll5_std,44165.49108886719,104
feature_42__ewm968,43870.608879089355,125
responder_2_close_roll20_std,43725.732971191406,133
responder_4_same_t_prev5,43617.6780166626,154
feature_23__ret100,43452.50905609131,134
feature_05__lag256,43086.57278442383,126
feature_21__ret100,42965.247985839844,130
responder_4_close_roll20_mean,42940.93771362305,107
feature_25__diff968,42896.028091430664,109
feature_23__ewm256,42858.965255737305,98
feature_31__diff968,42821.44170379639,108
feature_33__diff968,42647.4268951416,109
responder_5_prev_tail_lag2,42584.217781066895,108
responder_0_close_roll60_mean,42564.17887878418,132
feature_44__ewm16,42477.95204162598,97
responder_3_prev_tail_d1,42362.78106689453,122
responder_8_prev_tail_d2,42348.33281707764,126
feature_45__ewm968,42126.31703186035,124
feature_33__ewm64,42123.84214782715,134
feature_49__ewm968,41992.42385864258,115
responder_6_close_roll5_mean,41981.57305908203,124
feature_20__rz968,41864.916015625,133
feature_53__ewm100,41669.59394836426,117
feature_30__ret16,41650.83480834961,113
feature_39__ewm256,41634.789123535156,113
feature_24__rz968,41507.636947631836,96
feature_26__ret256,41444.566986083984,119
responder_5_prev_tail_d2,41441.823013305664,107
responder_6_prev_tail_lag3,41339.7080078125,130
responder_7_overnight_gap,41210.04401397705,130
responder_5_close_roll60_std,41088.830993652344,124
feature_27__ret64,41087.56704711914,133
feature_21__diff968,40888.77882385254,120
feature_29__ret100,40847.47198486328,130
feature_28__diff100,40789.168952941895,135
feature_25__ret16,40741.97821044922,108
feature_23__ret256,40730.52583312988,132
feature_33__ewm968,40710.06285095215,121
responder_0_close_roll5_mean,40686.7889251709,117
responder_5_prevday_close_minus_mean,40658.33702087402,131
feature_25__diff16,40514.521896362305,119
feature_27__rz968,40453.4280090332,126
feature_65__ewm256,40440.595932006836,135
responder_5_prev2day_close,40370.33196258545,128
responder_0_prev_tail_d1,40213.100036621094,109
feature_44__ewm256,40087.391120910645,117
responder_3_prev_tail_d2,40073.87893676758,129
feature_72__ewm100,39950.434799194336,103
feature_15__ewm256,39867.21117401123,98
responder_1_prev_tail_lag5,39808.106773376465,107
feature_21__ret256,39790.908920288086,128
feature_39__ewm968,39616.53904724121,114
feature_23__ewm968,39606.07592010498,101
feature_27__ret16,39565.173751831055,115
responder_4_close_roll5_mean,39539.250175476074,123
feature_52__ewm100,39455.964920043945,108
feature_23__diff100,39425.74493408203,125
feature_40__ewm100,39314.81198120117,112
feature_27__diff64,39302.263999938965,120
responder_7_close_roll5_std,39190.54946899414,91
responder_7_same_t_prev4,39171.52200317383,143
responder_4_close_roll5_std,39131.92391204834,108
responder_8_close_roll60_mean,39072.69688415527,104
responder_2_prev2day_close,39050.06578826904,105
responder_7_close_roll20_mean,38972.12504577637,114
responder_8_close_roll5_mean,38964.385986328125,124
feature_22__ewm256,38900.58901977539,103
responder_8_prev2day_close,38886.818923950195,122
feature_44__ewm968,38872.03109741211,107
responder_4_prev_tail_d2,38777.63508605957,124
responder_5_overnight_gap,38759.57807922363,127
feature_23__lag968,38628.79525756836,86
feature_26__ewm968,38569.29899597168,128
responder_7_close_roll60_std,38445.081970214844,113
responder_4_close_roll60_mean,38425.454986572266,122
feature_15__lag968,38389.832092285156,79
feature_31__ret16,38201.32827758789,116
feature_23__ewm64,38060.75508117676,100
responder_7_close_roll5_mean,38037.78288269043,113
feature_22__diff256,37991.50503540039,121
responder_7_prev_tail_lag2,37983.90916442871,100
feature_26,37936.324966430664,116
feature_28__ret100,37831.77891540527,124
responder_4_close_roll60_std,37794.25102233887,113
feature_30__rz968,37593.734146118164,108
feature_51__ewm256,37396.21375274658,84
feature_50__ewm256,37377.906158447266,102
responder_3_prev_tail_lag2,37356.47588348389,111
feature_39__ewm100,37346.88790893555,106
responder_7_prev_tail_d2,37334.87505340576,117
responder_3_close_roll60_mean,37203.39195251465,121
responder_2_prev_tail_lag3,37181.659912109375,107
feature_46__ewm968,37097.11680603027,117
responder_0_close_roll20_mean,37096.74607849121,117
responder_0_prev_tail_lag2,37059.30088806152,121
feature_53__ewm256,36991.03707885742,107
responder_2_prev_tail_lag5,36965.9870300293,120
feature_28__ewm100,36874.292068481445,109
feature_23__rz968,36865.00800323486,115
feature_31__ret100,36860.961837768555,123
responder_7_prev_tail_lag5,36860.60697174072,119
responder_4_prev_tail_lag2,36745.97611999512,107
responder_4_prev_tail_d1,36583.01996612549,118
feature_27__ret256,36570.25298309326,111
feature_50__ewm968,36562.59603881836,103
feature_69__rz968,36488.4129486084,117
feature_28__diff16,36364.24304199219,110
feature_24__diff968,36360.841796875,95
feature_37__rz968,36259.86804962158,106
feature_05__lag100,36239.68212890625,103
feature_53__ewm16,36233.622970581055,105
feature_20__diff256,36139.205978393555,111
feature_33__ewm100,36072.531967163086,116
responder_7_close_roll60_mean,36064.232917785645,113
feature_42__ewm256,36045.21021270752,110
responder_6_prev2day_close,36036.7541809082,116
feature_05__rz100,36017.545890808105,105
feature_46__ewm256,35939.0168838501,108
feature_24__ret100,35896.56497192383,118
responder_1_close_roll5_mean,35845.89093017578,109
feature_26__ret16,35827.952056884766,117
feature_24__ret16,35818.56394958496,111
feature_20__ret16,35740.67890930176,105
feature_55__ewm256,35684.56915283203,101
feature_27__ret100,35626.59190368652,114
feature_01__lag968,35559.485916137695,110
responder_6_close_roll20_std,35449.01600646973,101
feature_28__rz968,35409.595123291016,117
responder_7_prev_tail_lag3,35386.24189758301,106
feature_52__ewm968,35286.83106994629,89
feature_53__ewm968,35196.19299316406,110
feature_40__ewm64,35007.59391784668,91
feature_41__ewm968,34986.95590209961,107
feature_42__ewm100,34861.94905090332,106
responder_8_prev_tail_lag2,34822.2440032959,104
feature_65__ewm968,34600.32400512695,117
feature_33__ewm256,34588.72513580322,115
feature_26__rz968,34512.906883239746,107
feature_24__ret256,34458.47702026367,117
feature_14__diff256,34231.22499084473,115
responder_1_close_roll60_mean,34097.093994140625,112
feature_25__diff256,34071.802978515625,108
feature_58__diff968,33878.94792175293,102
feature_27__rz64,33181.56703186035,82
feature_23__diff968,33105.18516540527,102
responder_2_close_roll60_mean,33091.82403564453,104
responder_4_overnight_gap,33053.63998413086,99
feature_21__rz968,33010.283042907715,104
responder_3_overnight_gap,32660.25389099121,101
responder_5_close_roll20_mean,32359.587890625,112
feature_31__rz968,32307.381072998047,109
responder_6_close_roll60_mean,32306.21297454834,104
feature_29__ret256,32204.724044799805,99
feature_46__ewm64,32077.6669921875,101
feature_61__rz256,32045.10008239746,102
feature_37__ewm16,31901.925247192383,100
responder_4_prev2day_close,31677.865036010742,100
responder_5_close_roll20_std,31664.079864501953,93
feature_24__diff256,31644.880142211914,108
feature_22__rz100,31566.406036376953,100
feature_30__diff968,31295.999938964844,94
responder_8_prev_tail_lag3,31163.36897277832,96
feature_26__diff100,31045.294052124023,101
feature_01__diff100,30939.452018737793,91
feature_29__rz968,30817.985916137695,106
responder_8_close_roll5_std,30809.01203918457,88
feature_29__diff100,30749.584045410156,102
feature_27__diff256,30724.19403076172,104
responder_2_overnight_gap,30639.26992034912,96
feature_40__ewm968,30618.453033447266,95
feature_56__diff256,30600.379104614258,92
feature_26__diff256,30382.31494140625,105
feature_41__ewm100,30084.826095581055,80
feature_31__ret256,29834.052017211914,92
responder_8_close_roll20_mean,29544.14193725586,97
responder_6_close_roll5_std,29281.18391418457,94
feature_25__rz100,29253.634765625,74
responder_1_prev_tail_d1,29197.175971984863,102
feature_52__ewm256,29036.71710205078,80
feature_61__rz100,28692.25701904297,82
responder_1_same_t_last5_mean,28544.471969604492,91
feature_31__rz256,28311.533073425293,92
feature_30__diff256,27907.116973876953,88
feature_26__rz100,27723.125045776367,56
feature_34__diff64,27302.789947509766,50
feature_50__rz968,26656.47901916504,83
feature_56__diff64,26213.132125854492,63
feature_41__ewm256,26126.821952819824,81
responder_3_prev2day_close,26034.373977661133,88
feature_28__ret256,25932.26303100586,87
feature_61__rz64,25589.26806640625,80
feature_37__lag968,24917.278106689453,84
feature_34__diff968,24887.269973754883,63
feature_67__lag968,24864.76007080078,85
feature_22__ret16,24463.333938598633,69
responder_3_close_roll20_std,24453.14598083496,81
feature_54__ewm968,24446.478118896484,71
feature_28__ret16,24001.222900390625,77
feature_21__rz16,23839.34797668457,69
feature_29__rz100,23799.78092956543,59
feature_27__diff100,23704.817001342773,83
feature_33__diff256,23259.373207092285,73
feature_31__rz64,23087.46392059326,68
feature_30__rz16,22989.448974609375,73
feature_27__rz256,22936.48403930664,68
feature_21__rz100,22913.136978149414,74
feature_26__rz256,22315.575088500977,71
feature_21__rz256,22237.885917663574,67
feature_22__rz64,22068.034927368164,66
feature_29__rz256,21645.80615234375,67
feature_25__rz256,21076.94091796875,71
feature_20__rz64,20868.497940063477,74
feature_54__ewm256,19159.820892333984,51
feature_28__rz64,18944.522979736328,59
feature_66__rz256,17042.07405090332,48
feature_56__rz256,16002.378997802734,40
feature_23__rz100,14656.561004638672,48
