feature,gain,split
feature_38__ewm256,6669.070907592773,16
feature_56__ewm64,6644.460968017578,9
feature_41__ewm968,6631.794952392578,12
feature_25__ewm968,6545.758972167969,9
feature_60__diff16,6534.330047607422,12
feature_62__ewm968,6524.259002685547,11
feature_74__ewm968,6521.572052001953,7
feature_28__rz968,6506.740982055664,13
feature_23__ewm256,6425.302886962891,6
feature_01__lag968,6414.282043457031,9
responder_7_close_roll60_mean,6402.060028076172,7
responder_7_close_roll60_std,6392.090972900391,9
feature_40__ewm100,6380.966064453125,13
feature_61__rz64,6355.327941894531,10
feature_38,6346.6029052734375,13
feature_26__ewm968,6343.720001220703,9
feature_22__rz100,6340.239074707031,9
feature_31__diff968,6329.351974487305,13
feature_25__diff100,6287.289001464844,13
responder_8_prev_tail_d1,6272.308044433594,12
feature_25__ret16,6266.071014404297,11
feature_15__ewm968,6226.302947998047,8
feature_44__ewm16,6202.545928955078,12
feature_22__diff64,6162.210998535156,14
responder_6_close_roll5_mean,6120.016998291016,10
responder_5_prev_tail_d1,6117.864959716797,12
feature_34__rz968,6094.281921386719,11
feature_64__ewm968,6062.401092529297,10
feature_01__ewm968,6048.506011962891,11
feature_29__diff64,6012.552932739258,13
feature_16__ewm64,5969.967041015625,7
feature_07__ewm64,5965.018951416016,11
feature_24__ret256,5933.221954345703,13
responder_7_prev_tail_lag3,5883.928909301758,8
feature_65__ewm256,5854.996078491211,13
feature_61__ret100,5844.715972900391,13
feature_31__diff16,5819.614013671875,12
feature_23__ret64,5815.7879638671875,13
feature_30__lag968,5806.4659423828125,12
feature_16__ewm968,5785.615997314453,6
responder_8_prev_tail_lag2,5783.043060302734,10
responder_7_overnight_gap,5777.332962036133,10
feature_23__ewm64,5776.038955688477,7
feature_43__ewm16,5768.156066894531,13
responder_0_close_roll5_mean,5760.772994995117,13
feature_47__ewm968,5734.164047241211,12
feature_29__rz968,5706.973937988281,7
feature_68__ewm16,5689.744918823242,11
responder_7_close_roll20_mean,5685.789978027344,10
feature_57__ewm16,5650.874053955078,11
feature_25__ret100,5623.294006347656,12
feature_42__ewm100,5617.003967285156,12
feature_56__ewm256,5609.599945068359,9
responder_4_prev_tail_d2,5592.4591064453125,9
feature_41__ewm100,5589.905059814453,7
feature_53__ewm256,5580.425994873047,12
feature_23__ret16,5571.432952880859,12
responder_2_prevday_std,5571.259017944336,12
feature_20__rz968,5549.910064697266,6
feature_21__lag968,5518.157928466797,8
feature_05__rz968,5489.844039916992,12
responder_4_close_roll60_std,5476.143951416016,9
feature_56__ewm968,5455.806991577148,12
feature_25__diff256,5447.45198059082,14
feature_29__ret64,5418.636932373047,11
feature_31__diff256,5413.992004394531,10
responder_3_overnight_gap,5412.992034912109,11
responder_4_prev_tail_lag5,5405.396957397461,12
feature_37__rz968,5394.101013183594,10
feature_33__ewm256,5385.916046142578,12
responder_3_prev_tail_d2,5368.573059082031,11
feature_26__ret16,5348.898010253906,12
feature_19__ewm968,5345.60595703125,9
feature_54__ewm64,5327.552932739258,13
feature_22__lag256,5290.618011474609,6
feature_25__diff968,5286.429931640625,8
responder_2_close_roll60_mean,5274.569976806641,12
responder_5_prev_tail_d2,5224.5399169921875,10
feature_38__lag256,5210.950042724609,11
feature_23__ret100,5184.037933349609,11
responder_8_prev2day_close,5178.8389892578125,8
responder_5_close_roll60_mean,5178.429107666016,12
responder_4_prevday_close_minus_mean,5171.542053222656,10
feature_23__rz100,5090.597869873047,6
feature_53__ewm100,5080.666076660156,12
feature_22__diff100,5080.443923950195,11
feature_15__ewm256,5064.763946533203,9
responder_6_prev_tail_d1,5059.707000732422,10
responder_6_prev2day_close,5027.622894287109,7
feature_23__diff64,5019.4229736328125,11
feature_20__ret64,4991.202011108398,11
feature_52__ewm968,4973.4901123046875,10
feature_45__ewm968,4972.689056396484,11
responder_6_prevday_mean,4959.937072753906,10
feature_55__ewm64,4947.257049560547,10
responder_4_prev_tail_lag2,4943.929016113281,10
feature_55__ewm256,4916.729019165039,12
feature_28__diff16,4916.2359619140625,11
feature_24__ret16,4897.26301574707,12
feature_33__ewm16,4890.311950683594,10
feature_64__ewm256,4888.050994873047,8
responder_6_close_roll20_std,4886.090972900391,11
responder_7_prev_tail_lag2,4877.843963623047,10
feature_45__ewm16,4874.478973388672,7
feature_67__ewm968,4866.41796875,11
feature_46__ewm64,4864.556060791016,11
feature_58__ewm64,4845.905029296875,11
feature_31__lag968,4844.636016845703,8
feature_47__ewm256,4839.856979370117,13
responder_8_prev_tail_lag1,4839.825988769531,8
feature_43__ewm256,4827.618957519531,10
feature_23__diff968,4824.309020996094,6
feature_05__ewm64,4823.032958984375,11
feature_05__lag100,4821.8079833984375,8
feature_26__ret64,4816.9439697265625,10
feature_61__lag100,4803.0439453125,8
feature_07__rz256,4799.744934082031,8
responder_5_close_roll20_mean,4793.695983886719,12
responder_1_close_roll5_mean,4787.274993896484,10
feature_15,4773.817962646484,7
responder_3_prev_tail_lag3,4770.518005371094,12
responder_1_prevday_mean,4767.481964111328,10
feature_01__diff256,4729.071929931641,7
responder_4_close_roll60_mean,4713.8609619140625,9
feature_30__diff64,4682.3909912109375,10
feature_58__diff256,4676.407974243164,11
feature_05__lag256,4672.879974365234,8
feature_01__ewm64,4660.348052978516,9
feature_21__rz16,4629.418975830078,10
feature_66__ewm968,4595.133987426758,11
responder_2_prevday_mean,4561.993072509766,8
feature_46__ewm968,4554.0089111328125,9
feature_23__rz968,4553.849060058594,7
feature_26__diff16,4545.05192565918,10
feature_38__ewm100,4536.274993896484,10
feature_23__diff100,4516.666000366211,11
responder_8_close_roll5_mean,4501.86799621582,11
feature_38__ewm64,4474.853958129883,9
feature_07__ewm968,4472.092987060547,8
feature_27__diff256,4437.853942871094,10
feature_30__diff256,4432.5098876953125,8
feature_69__diff968,4421.876937866211,10
feature_24__diff256,4409.950012207031,8
feature_07__rz64,4394.341033935547,8
feature_31__ret256,4380.0660400390625,10
